Price;Broker;HouseStatus;Address;Bed;Bath;Spsqft;SizeAcre,,,,,,,
From$619,685;Built by Allen Edwin Homes;For Sale;Traditions 2900 V8.2b Plan,Stonegate CommunityByron Center,MI 49315;4bed;2.5bath;2,948sqft2,948 square feet;Ready to build,,
$179,900;Brokered by Coldwell Banker Frewen Realty;Coming Soon;8 NW Travis StGrand Rapids,MI 49505;4bed;1.5bath;1,279sqft1,279 square feet;4,269sqft lot4,269 square foot lot,
$335,000;Brokered by EXP Realty - Rochester;Coming Soon;23450 Grandy StClinton Township,MI 48035;3bed;2.5bath;1,700sqft1,700 square feet;6,534sqft lot6,534 square foot lot,
$115,000;Brokered by EXP Realty,LLC;Coming Soon;14251 Kilbourne StDetroit,MI 48213;3bed;1.5bath;1,628sqft1,628 square feet;5,663sqft lot5,663 square foot lot
$12,000;Brokered by EXP Realty,LLC;Coming Soon;2115 Cherry StSaginaw,MI 48601;2bed;1bath;768sqft768 square feet;5,227sqft lot5,227 square foot lot,,
$224,900;Brokered by World Showcase Realty;Coming Soon;23850 Jerome StOak Park,MI 48237;3bed;1bath;1,078sqft1,078 square feet;5,227sqft lot5,227 square foot lot,
$469,000;Brokered by Re/Max First;Coming Soon;47045 Woodberry Estates DrMacomb Township,MI 48044;4bed;2.5bath;2,776sqft2,776 square feet;0.29acre lot0.29 acre lot,,,
$120,000;Brokered by Polaris Real Estate Llc;Coming Soon;409 Solon St NECedar Springs,MI 49319;2bed;1bath;816sqft816 square feet;1acre lot1 acre lot,,,,,
$149,999;Brokered by EXP Realty,LLC - Novi;Coming Soon;26130 Currier StDearborn Heights,MI 48125;4bed;1bath;1,094sqft1,094 square feet;5,663sqft lot5,663 square foot lot
From$453,895;Built by Allen Edwin Homes;For Sale;Elements 1870 Plan,Stonegate CommunityByron Center,MI 49315;3bed;2.5bath;1,870sqft1,870 square feet;Ready to build,,
From$577,025;Built by Allen Edwin Homes;For Sale;Traditions 3100 V8.0g Plan,Stonegate CommunityByron Center,MI 49315;4bed;2.5bath;3,070sqft3,070 square feet;Ready to build,,
$116,600;Brokered by Real Home Serivce and Solutions;For Sale;1962 Grove St Unit RoadStandish,MI 48658;3bed;2bath;1,442sqft1,442 square feet;2acre lot2 acre lot,,,
$325,000;Brokered by DOBI Real Estate;Coming Soon;3335 Parkways BlvdAuburn Hills,MI 48326;2bed;2.5bath;1,446sqft1,446 square feet;,,,
From$333,440;Built by Allen Edwin Homes;For Sale;Integrity 1810 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;4bed;2.5bath;1,822sqft1,822 square feet;Ready to build,,
From$352,900;Built by Allen Edwin Homes;For Sale;Integrity 2060 Plan,Rolling Meadows Estates CommunityHudsonville,MI 49426;3bed;2bath;2,060sqft2,060 square feet;Ready to build,,
From$370,680;Built by Allen Edwin Homes;For Sale;Integrity 1830 Plan,Oak Grove Meadows CommunityHowell,MI 48855;4bed;2.5bath;1,830sqft1,830 square feet;Ready to build,,
From$448,900;Built by Allen Edwin Homes;For Sale;Elements 2700 Plan,Rolling Meadows Estates CommunityHudsonville,MI 49426;4bed;2.5bath;2,735sqft2,735 square feet;Ready to build,,
$459,900;Brokered by LAKESHORE REALTY;For Sale;6357 E Grand Lake RdPresque Isle,MI 49777;3bed;2bath;1,920sqft1,920 square feet;,,,
$219,000;Brokered by Realty Executives Home Towne;For Sale;1730 Connecticut AveMarysville,MI 48040;3bed;1.5bath;1,084sqft1,084 square feet;0.25acre lot0.25 acre lot,,,
$139,900;Brokered by Stephens Real Estate;For Sale;903 E Seventh AveNorway,MI 49870;3bed;1bath;1,660sqft1,660 square feet;0.33acre lot0.33 acre lot,,,
$130,000;Brokered by Michigan Whitetail Properties;For Sale;0 Vl W Olson RdSanford,MI 48657;30.3acre lot30.3 acre lot;;;,,,,,
$425,000;Brokered by Dwelling Realty - KW Northern Michigan;For Sale;6918 Lakeshore RdManistee,MI 49660;3bed;0.5bath;850sqft850 square feet;1.5acre lot1.5 acre lot,,,,,
$249,900;Brokered by Kori Shook & Associates;For Sale;1266 N State RdOwosso,MI 48867;3bed;1.5bath;1,536sqft1,536 square feet;0.87acre lot0.87 acre lot,,,
$289,000;Brokered by RE MAX 1st Realty;For Sale;201 Cedar LnMarquette,MI 49855;3bed;1.5bath;1,691sqft1,691 square feet;1.52acre lot1.52 acre lot,,,
$279,500;Brokered by Five Star Real Estate - Lansing Office;For Sale;1810 Linn RdWilliamston,MI 48895;3bed;2bath;2,680sqft2,680 square feet;1.44acre lot1.44 acre lot,,,
$199,000;Brokered by RE MAX Perrett Associates;For Sale;1520 W Berry RdJackson,MI 49201;3bed;2bath;2,034sqft2,034 square feet;7.7acre lot7.7 acre lot,,,
$749,000;Brokered by River Oaks Realty;For Sale;20653 W River RdGrosse Ile,MI 48138;3bed;2.5bath;10,439sqft10,439 square feet;1.77acre lot1.77 acre lot,,,
$219,999;Brokered by CENTURY 21 Allstar Real Estate Team;For Sale;1130 Vineyard DrMonroe,MI 48161;4bed;1bath;1,334sqft1,334 square feet;0.72acre lot0.72 acre lot,,,
$299,900;Brokered by RE MAX 1st Realty;For Sale;14 Stonegate DrMarquette,MI 49855;3bed;1.5bath;2,104sqft2,104 square feet;1.27acre lot1.27 acre lot,,,
$195,000;Brokered by RE MAX 1st Realty;For Sale;5565 Riverview DrAu Train,MI 49806;3bed;1bath;992sqft992 square feet;0.47acre lot0.47 acre lot,,,,,
$65,900;Brokered by RE MAX Team 2000;Foreclosure;28251 Waltz RdHuron Township,MI 48164;4bed;2bath;3,178sqft3,178 square feet;0.8acre lot0.8 acre lot,,,
$289,000;Brokered by RE MAX Classic;For Sale;21222 Saint Francis StFarmington Hills,MI 48336;4bed;3.5bath;2,636sqft2,636 square feet;8,276sqft lot8,276 square foot lot,
$775,000;Brokered by Ayre/Rhinehart-Midland;For Sale;1695 S Bay Mid County Line RdMidland,MI 48642;5bed;4.5bath;2,800sqft2,800 square feet;10.19acre lot10.19 acre lot,,,
$3,900,000;Brokered by Coldwell Banker Woodland Schmidt;For Sale;173 Oakwood AveHolland,MI 49424;5bed;4.5bath;7,237sqft7,237 square feet;1.3acre lot1.3 acre lot,,
$359,900;Brokered by Zie Realty;For Sale;823 Wolverine RdMason,MI 48854;3bed;3.5bath;2,740sqft2,740 square feet;10.1acre lot10.1 acre lot,,,
$69,900;Brokered by Coldwell Banker Woodland Schmidt-Hart;For Sale;8977 N 120th AveHart,MI 49420;2bed;1bath;628sqft628 square feet;1.25acre lot1.25 acre lot,,,,,
$99,000;Brokered by Clarity Realty Allied;For Sale;11904 Newman RdBrighton,MI 48114;4bed;2bath;2,457sqft2,457 square feet;1acre lot1 acre lot,,,
$169,900;Brokered by Keller Williams Realty Lansing-East;For Sale;7404 S Chandler RdSaint Johns,MI 48879;3bed;2bath;1,588sqft1,588 square feet;2.74acre lot2.74 acre lot,,,
